title,company,location,description,data_science_job
ASIC Verification Engineer,Bosch Group,Dresden,"The sensors enable devices to recognize their surroundings and to transmit the data collected.Education: Degree (Dipl. / M.Sc.) of electrical engineering,…",0.0
"AWS Solutions Architect, Startups (CEE)",AWS EMEA SARL (Germany Branch),München,"Technical Degree (Computer Science, Maths, Engineering or equivalent) and/or relevant tech experience.CTO/co-founder/architect experience for a VC-backed…",0.0
"Abschlussarbeit - „Best-Practice-Umgebung für KI-Anwendungen""“",STAR COOPERATION GmbH,Böblingen,"Teamgeist, geballte Expertenpower, Verantwortung und Networking: Daraus schmieden wir bei STAR innovative Produkte und Dienstleistungen auf einem neuen Level.",1.0
Abschlussarbeit - „KNIME in the Cloud“,STAR COOPERATION GmbH,Böblingen,"Teamgeist, geballte Expertenpower, Verantwortung und Networking: Daraus schmieden wir bei STAR innovative Produkte und Dienstleistungen auf einem neuen Level.",0.0
Academic Research Coordinator (m/f/x),Celonis SE,München,We believe in educating our youth as the next generation thought leaders in data and process science.Promote the presence of Celonis and its technology in…,0.0
Academic research assistant (m/f/x),Universität des Saarlandes,Saarbrücken, Evaluation of biomedical data using machine learning and artificial intelligence.Computer science and in the life sciences and nanosciences.,1.0
Academic research assistant (m/f/x) The Chair for Coordination Chemistry Reference number W1772,Universität des Saarlandes,Saarbrücken,For information on how we collect and process personal data in accordance with Art.When you submit a job application to Saarland University you will be…,0.0
Academic research assistant (m/f/x) The Chair for Coordination Chemistry Reference number W1773,Universität des Saarlandes,Saarbrücken,For information on how we collect and process personal data in accordance with Art.When you submit a job application to Saarland University you will be…,0.0
Academic research assistant (m/f/x) The Chair of Systems Modeling and Simulation Reference number W1771,Universität des Saarlandes,Saarbrücken,Computer science and in the life sciences and nanosciences.For information on how we collect and process personal data in accordance with Art.,0.0
Academic research assistant (m/f/x) The Department of Biophysics Reference number W1769,Universität des Saarlandes,Saarbrücken,Imaging data obtained by microscopy.Computer science and in the life sciences and nanosciences.For information on how we collect and process personal data in…,0.0
Account Executive (m/w/d),Gpredictive GmbH,Hamburg,"Gpredictive ist eine automatisierte Machine Learning Plattform für Marketinganwendungen, die es ermöglicht, schnell und einfach Predictive Models zu erstellen…",0.0
Account Manager Inside Sales Bioscience (m/w/d) fixed term,Thermo Fisher Scientific,Darmstadt,Provide a weekly sales forecast based on historic data and market knowledge.Drive revenue growth and overall customer satisfaction through sales of consumables…,0.0
Account Manager – Behavioural Research,SURVEYENGINE,Berlin,Develop a clear view of upcoming challenges and suggest solutions supported by data.Interface with project managers to deliver high quality project research…,1.0
Account Manager: Life Sciences (Berlin),KNIME,Berlin,"We are a rapidly growing, young company developing analytics software for performing advanced data science.Our open source KNIME Analytics Platform, developed…",1.0
Accounting in Insurance (SAP) Senior Consultant,RLM Recruit,Home Office,"An accounting and reporting background in relation to data management and IT architecture, preferably within Insurance or Financial Services.",0.0
Actuarial Data Scientist,Munich Re,München,"It is responsible for coordinating data and system development, data integration, and data analytics topics for more than 50 markets, 500+ cedents, and 1,500+…",1.0
Agile Coach (f/m/d) for Spotlight by SAP,SAP,Berlin,"Its focus is to help enterprises improve their business operations and processes in a data-driven way.Based on SAP’s exclusive data assets, domain knowledge…",0.0
Agile Coach (w/m/d) (auch in Teilzeit möglich),Gesellschaft: EnBW Energie Baden-Württemberg AG,Karlsruhe,"Agile Coach (w/m/d) (auch in Teilzeit möglich).Gesellschaft: EnBW Energie Baden-Württemberg AG.Gemeinsam packen wir Dinge an, die uns auch morgen begleiten.",0.0
Agronomic Data Specialist with focus on North and South America (m/f/d),BASF Services Europe GmbH,Berlin,"High affinity for IT and interest in the field of electronic data processing.Together with experts from different teams, you will gather necessary information…",1.0
Agronomy Specialist Healthy Fields (m/f/d),BASF Digital Farming GmbH,Köln,"PhD or Master in agronomy, agricultural science, plant production, or an equivalent field.Moreover, you coordinate development activities of the product from…",0.0
Air Base Air Defense Systems Maintenance Specialist,Booz Allen Hamilton,Miesenbach,"Knowledge of modern information systems, including computer hardware, data storage, network, and distributed systems.",0.0
Algorithmenentwicklung zur Erstellung von 4D-Gebäudemodellen,DLR - Deutsches Zentrum für Luft- und Raumfahrt,Oberpfaffenhofen,"Die Abteilung ""EO Data Science"" des Instituts für Methodik der Fernerkundung entwickelt moderne Signalverarbeitungs- und KI-Verfahren für gegenwärtige und…",1.0
"Analyst, Financial Institutions - BCG Omnia",The Boston Consulting Group,Frankfurt am Main,"Analyzing large data sets, finding patterns and providing a concise summary.Peers across Financial Institutions data assets to execute and deliver the findings…",1.0
Analytics Consultant : Berlin,InterWorks,Berlin,"You may work as part of a team that requires specialties in data capture and storage, ETL, data science, dashboarding, training or change management.",1.0
Analytics Consultant : Düsseldorf,InterWorks,Düsseldorf,"You may work as part of a team that requires specialties in data capture and storage, ETL, data science, dashboarding, training or change management.",1.0
Analytics Consultant : Frankfurt,InterWorks,Frankfurt am Main,"You may work as part of a team that requires specialties in data capture and storage, ETL, data science, dashboarding, training or change management.",1.0
Analytics Consultant : Munich,InterWorks,München,"You may work as part of a team that requires specialties in data capture and storage, ETL, data science, dashboarding, training or change management.",1.0
Analytics Manager Connected Appliances,BSH Home Appliances Group,München,"University degree or equivalent professional experience in computer science, analytics or data warehousing.Align with data engineers and analysts on technical…",1.0
Android Developer (m/w/d),Axel Springer,Hamburg,"Die immowelt Hamburg GmbH ist Teil der immowelt Group, einer Tochter der Axel Springer SE.Zu dieser gehören auch die immowelt AG mit ihren Portalen immowelt.de…",0.0
Android SDK Developer (m/f/d),Smaato Inc.,Hamburg,Advanced targeting capabilities and competitive intelligence help publishers optimize their monetization strategy to create data-driven experiences and reach…,0.0
Anforderungsmanager (m/w/x),infoteam Software AG,Düsseldorf,"Wir bei infoteam realisieren seit fast 40 Jahren spezifische Softwarelösungen für unsere Kunden aus den Märkten Industry, Infrastructure, Life Science und…",0.0
Anwendungsentwickler (m/w/d),INTER Versicherungsgruppe,Mannheim,"Für Kompetenz, Fairness und Vertrauen steht die INTER Versicherungsgruppe seit über hundert Jahren.Möchten Sie Teil dieser Erfolgsgeschichte werden und Ihren…",0.0
Application Developer .NET ‏ (d/f/m),Henkel,Düsseldorf,Collaborate closely with data analysts defining future R&D data structures for a global team.HENKEL IS FOR THOSE WHO STEP UP.,1.0
Application Expert (m/f/d) - PanHunter,Evotec,Göttingen,"Master or PhD in bioinformatics, statistics, physics, chemistry, data science or mathematics.PanHunter is an innovative software for omics data analytics that…",1.0
Application Solutions Expert (m/w/d),Randstad Deutschland,Darmstadt,Ability to translate data into meaningful information.Understanding of innovative processes and data technologies.You are looking for a new challenge?,1.0
Application Solutions Specialist (m/f/d),Hays,Darmstadt,Ability to translate data into meaningful information.Good knowledge of innovative processes and data technologies.Varied tasks in a renowned company.,1.0
Application Specialist in Advanced Light Microscopy - EMBL Imaging Centre,European Molecular Biology Laboratory,Heidelberg,"Supporting users in all aspects of advanced light microscopy as well as correlative microscopy experiments: sample preparation, introduction to the imaging…",0.0
Application Support Engineer,TrailStone Group,Berlin,"Our team of traders, meteorologists, software engineers, risk managers, and data scientists aim to increase the stability of electric grids while minimizing…",0.0
Application Support Specialist im Bereich LIMS System,Brunel,Heilbronn,Suchen Sie Abwechslung statt Alltagsroutine?Dann machen Sie den entscheidenden Schritt und werden Sie Teil unseres erfolgreichen Teams.,0.0
Applied Science Manager (Economics) - Economics & Experimentation (w/m/d),Zalando,Berlin,Actively collaborate with economist and data science colleagues well as commercial stakeholders and senior management.WHERE YOUR EXPERTISE IS NEEDED.,0.0
