title,company,location,description
Abschlussarbeit – Design von Key Performance Indikatoren zur Bewertung virtueller Fahrversuch,IAV GmbH,Berlin,Im Bereich des hochautomatisierten Fahrens steigt der Einsatz von Simulationswerkzeugen stetig an.Mit Hilfe dieser sollen digitale Zwillinge der realen Systeme…
Lead of Digital Competence Center (m/f/d),Thales Group,Berlin,"This role requires being up to date with the latest Digital technologies, Big data, data science, AI, data lake, etc.You will enjoy having this responsibility:"
Turkish NLU Consultant,Cerence,Aachen,"The work will involve the development of grammars and lexical resources, the correction of annotated data, and other adjustments of the system as well as error…"
Norwegian NLU Consultant,Cerence,Aachen,"The work will involve the development of grammars and lexical resources, the correction of annotated data, and other adjustments of the system as well as error…"
Cantonese NLU Consultant,Cerence,Aachen,"The work will involve the development of grammars and lexical resources, the correction of annotated data, and other adjustments of the system as well as error…"
Danish NLU Consultant,Cerence,Aachen,"The work will involve the development of grammars and lexical resources, the correction of annotated data, and other adjustments of the system as well as error…"
(Senior) Softwaretester (m/w/d) mit Schwerpunkt Testautomatisierung – befristet für 12 Monate,immowelt,Nürnberg,"Die Arbeit an der nächsten Generation der erfolgreichen immowelt Plattform hat begonnen!Wenn du heiß darauf bist, etwas Großartiges zu schaffen, und dein Know…"
System Engineer Electronic Warfare Support Solutions (f/m/d),HENSOLDT Holding Germany GmbH,Ulm,"Experience in the field of Electronic Warefare Systems with focus on mission data processing (mission planning, mission data generation, verification and…"
Werkstudent/in für Produktmarketing (m/w/d),virtualQ GmbH,Berlin,"Du begeisterst Dich für Softwarelösungen, die wirklich einen Mehrwert generieren und liebst die Herausforderung?Dann bist Du bei uns genau richtig!"
Senior Solution Architect - Deal Solution Designer,Ernst & Young,Deutschland,"Having worked on large scale multi-technology, data, analytics deals.Having technical / data / application / integration architecture experience."
Product Owner (m/w/d) Mobile Apps – Hamburg,immowelt,Nürnberg,"Die Arbeit an der nächsten Generation der erfolgreichen immowelt Plattform hat begonnen!Wenn du heiß darauf bist, den Erfolg unserer nativen Apps auszubauen,…"
Polish NLU Consultant,Cerence,Aachen,"The work will involve the development of grammars and lexical resources, the correction of annotated data, and other adjustments of the system as well as error…"
Senior Java Software Engineer,Global Fashion Group,Berlin,"You have solid computer science fundamentals (data structure, algorithms, design patterns) and use them wisely.Location: Berlin (flexible working patterns)."
Referent (m/w/d) Vertriebssteuerung Digitale Produkte,Société Générale,Hamburg,In dieser Funktion wirkst Du in direkter Zusammenarbeit mit der Abteilungsleitung Vertriebssteuerung maßgeblich an Konzepten für Vertriebssteuerungsmaßnahmen…
Product Lead - Deal Solution Designer,Ernst & Young,Deutschland,"Product Lead - Deal Solution Designer.EY is a global leader in assurance, tax, transaction and advisory services.Skills and attributes for success."
R&D team lead (m/f/d) mobile robotics,ABB,Gilching,Join ABB and work in a team that is dedicated to creating a future where innovative digital technologies allow greater access to cleaner energy.
Senior Content Marketing Manager,Qiagen,Düsseldorf,We are on an exciting mission to make a real difference in science and healthcare.There are few players who have shaped the world of modern science and…
Lead developer and system architect for cloud-based quantum control system,Forschungszentrum Jülich,Jülich,"Expert knowledge on real-time data processing, storage, visualization, and analysis using Web-based data applications (e.g. Kibana, Apache Kafka, plotly)."
Network Engineer - Germany,Westhouse,"Gelsenkirchen, Stadt","Past experience of working with data centres, networking and WAN technologies, and Cloud services.Only CVs with consent to the storage and processing of…"
Cloud Engineer,Eligo Recruitment Ltd,Darmstadt,Want to help transform how industries and communities generate value from data by enabling successful data ecosystems?€55000 - €70000 per annum.
Junior Produktmanager (M/W/D),Process Analytics Factory GmbH,Darmstadt,"Wir sind die Process Analytics Factory GmbH (PAF)!Seit 2014 haben wir es uns zur Aufgabe gemacht, Process Mining zu revolutionieren und zu demokratisieren."
Japanese NLU Consultant,Cerence,Aachen,"The work will involve the development of grammars and lexical resources, the correction of annotated data, and other adjustments of the system as well as error…"
Korean NLU Consultant,Cerence,Aachen,"The work will involve the development of grammars and lexical resources, the correction of annotated data, and other adjustments of the system as well as error…"
Backend Technical Lead (m/f/d),Relayr,München,"We tackle challenging problems in the fields of data engineering, data science, and machine learning research to develop solutions from early prototypes to…"
Safety/Environmental Program Manager,PAE,Deutschland,"BS degree in environmental science or engineering, or related discipline.Provides technical guidance to project management and operations personnel; prepares…"
Senior Software Developer / Programmer - Research Data Management,Forschungszentrum Jülich,Aachen,"University degree (Master, Diploma) or similar in information science, computer science, natural sciences or engineering with a relevant connection to the topic…"
Senior Consultant (w/m/d) Wealth & Asset Management – Consulting (Financial Services),Ernst & Young,Deutschland,"Gemeinsam zukunftsweisende Lösungen für die Finanzwelt von morgen entwickeln: Das ist das Ziel unserer international auf Banken, Versicherungen und Asset…"
Android Software Development Engineer - Amazon eero,Amazon Development Center DEU,Berlin,"Proficiency in Computer Science fundamentals (algorithms, data structures and problem solving).Bachelor’s Degree in Computer Science, Electrical Engineering,…"
Senior Software Engineer (m/f/d) - FinTech Application,smava GmbH,Berlin,"By working in cross-functional teams closely together with Data Science, Product, Platform, Business and Data Analytics, Financial Cooperation, Sales and Data…"
Product Owner (m/w/d) Mobile Apps – Nürnberg,immowelt,Nürnberg,"Die Arbeit an der nächsten Generation der erfolgreichen immowelt Plattform hat begonnen!Wenn du heiß darauf bist, den Erfolg unserer nativen Apps auszubauen,…"
German NLU Consultant,Cerence,Aachen,"The work will involve the development of grammars and lexical resources, the correction of annotated data, and other adjustments of the system as well as error…"
(Senior) Developer (f/m/d)- SAP Intelligent Enterprise,SAP,Walldorf,"Design and develop the next generation data model (One Domain Model) as well as tools, SDKs, and services easing the consumption of the One Domain Model."
Full Stack Developer (m/f/d) mobile robotics – senior & principal level,ABB,Gilching,Join ABB and work in a team that is dedicated to creating a future where innovative digital technologies allow greater access to cleaner energy.
Senior Growth Marketing Manager (m/f/d),Project A Ventures,München,"Driving a cost-efficient, data-driven marketing approach.A new team member for one of our portfolio companies which was founded with the aim of providing urban…"
Cyber Incident Handling Analyst 2,SOSi,Wiesbaden,"Be involved in a wide range of security issues including architectures, firewalls, electronic data traffic, and network access."
(Senior) Manager (w/m/d) - Wealth & Asset Management – Consulting (Financial Services),Ernst & Young,Deutschland,"Gemeinsam zukunftsweisende Lösungen für die Finanzwelt von morgen entwickeln: Das ist das Ziel unserer international auf Banken, Versicherungen und Asset…"
Software Quality Assurance Engineer Speech Control Automotive,Cerence,Ulm,It is your task to improve and develop methods of testing and test data management for automated and interactive tests and regularly report QA KPIs to the…
Backend JavaScript Developer (m/w/d),I. K. Hofmann GmbH,Berlin,"3+ years of experience in JavaScript Development, with strong competencies in data structures, distributed systems, algorithms and software design."
Intership / Praktikum Data Science in Test & Measurement,Keysight Technologies,Böblingen,"Knowledge of data science and machine learning techniques.Some experience with data bases, handling of structured and unstructured data."
Intern Computer Vision / AI (w/m/x),BMW AG,München,Areas of work include research on image and point cloud data in context of quality control within the BMW manufacturing processes.SOME CHANGES WHAT'S POSSIBLE.
VP Data (f/m/d),propifair,Frankfurt am Main,"You oversee the whole data ecosystem, such as data architecture and tooling, data management, business intelligence, data analytics, data engineering, and data…"
Game Data Analyst,Crytek,Frankfurt am Main,"Improve and streamline processes regarding data flow and data quality to improve data accuracy, viability and value.What you can expect from us."
Junior Data Scientist (m/f/d),COMATCH GmbH,Berlin,The data team is a team of two data scientists and one data engineer who work closely together to provide the rest of the company with high quality data and…
Senior Data Scientist (m/f/d) in Group Data Analytics,Allianz SE (global headquarters),München,"Consolidate data science best practices.You will act as advisor, mentor, and point of reference for data science excellence in the company."
Master Data Specialist (m/w/d),BD,Heidelberg,Der/die Masterdata SpezialistIn ist verantwortlich für die Qualitätssicherung und Integrität der Masterdaten in allen lokal genutzten Systemen.
Senior Technical Specialist (m/f/d) Data Science,FEV Europe GmbH,Aachen,"Project lead of various data science projects.Align data science projects within organizational goals.Concept development, design and implementation of data…"
Two student assistants,GESIS – Leibniz-Institut für Sozialwissenschaften...,Köln,Literature reviews of the latest data science & CSS methods.Development of guidelines for the application of data science methods.
Commercial Graduate Programme,RWE Supply & Trading GmbH,Essen,"It’s amazing what you can achieve on the RWEST Commercial Graduate Programme.From your first day, you’ll have opportunities to work alongside industry experts…"
Scientist for Machine Learning,ECMWF,Bonn,Largest archive of weather data in the world.For details of how we will handle your personal data.The successful applicant will also contribute to knowledge…
Machine Learning Engineer,7Learnings,Deutschland,"Do data modeling for price scenarios, rulesets, user roles etc.This includes a pipeline that is used for data import, validation, cleaning, aggregation, model…"
Lead Data Scientist (all genders),Zühlke,Frankfurt am Main,"In deiner beratenden Funktion entwickelst du für und mit unseren Kunden neue Algorithmen, verschaffst ihnen neue Erkenntnisse aus ihren Daten und eröffnest so…"
Research Assistant – Fusion of SAR and Multispectral imagery,Technische Universität Darmstadt,Darmstadt,"Fusion of multimodal remote sensing data.Co-registration of remote sensing data.In the context of this position, machine learning based methods and algorithms…"
(Senior) Data Scientist (m/f/d)*,reBuy reCommerce GmbH,Berlin,Proficiency in SQL and experience of working with large data sets.You should have a proven ability to take ownership of projects and drive business results…
Research,Universität Bielefeld,Bielefeld,Mail. Information on the processing of personal data is available https://www.uni-.The political science sub-project F05 [A01] reconstructs the development of.
student assistant,GESIS – Leibniz-Institut für Sozialwissenschaften...,Köln,Computational Social Science (CSS) is a new area of research which aims to analyze socio-cultural phenomena through new kinds of data and novel technologies.
Research,Universität Bielefeld,Bielefeld,"Learning as well as annotation and data modeling.Experience in Digital Humanities and/or research data management.(E13 TV-L, non-permanent position)."
Trainee Audit Data & Analytics (Privat- und Unternehmerkunden) (m/w/divers),Commerzbank AG,Frankfurt am Main,"High Diver werden und tief eintauchen – in Themen, Strukturen und Netzwerke.Und das mit Sicherheitsleine – schließlich startest du als unser Trainee mit einem…"
"Mandatory Internship, Global Projects",ICLEI Local Governments for Sustainability e.V.,Bonn,"For data protection information, read our disclaimer and privacy policy on our website.Being enrolled in a relevant subject at a university, such as urban…"
Assistant Breeder (f/m/d),KWS Group,Northeim,"Experience in designing and evaluating field tests, analyzing larger data sets and handling data bases.Our data privacy policy for candidates is available on…"
Abschlussarbeit im Bereich Machine Learning im automobilen Produktionsumfeld ab März 2021,Mercedes-Benz AG,Sindelfingen,"In den letzten Jahren sind neue Konzepte und Materialien für automobile Rohbaukarosserien entwickelt worden.Nur so können die Grenzen des Machbaren ausgelotet,…"
PhD student in Agronomy (m/f/d),​​​​Leibniz-Zentrum für Agrarlandschaftsforschung...,Müncheberg," Master of science in agronomy, crop science, agro-ecology or agricultural sciences.Your data will be deleted after six months."
Junior Backend Engineer (m/f/d),solexas GmbH,Karlsruhe,"Degree in computer science or comparable qualifications.Working with agile methods (SCRUM) in an international team of software developers, designers,…"
Data Engineer (m/f/d),Covestro,Leverkusen,You have a university degree in computer science or a comparable education.We refined Chemical material solutions with game-changing products.
PhD student within the EU research project GREYDIENT (f/m/x),BMW AG,München,"Master of science in Engineering, Applied Mathematics, Computer Science or a related field.The project addresses a wide spectrum of fields, including the…"
Research Associate (Postdoc),GESIS – Leibniz-Institut für Sozialwissenschaften...,Köln,"Excellent doctoral degree in political science, communication science or related disciplines.Analysis of multidimensional data (social media, candidate surveys…"
Spezialist (m/w/d) für datenintesives Rechnen,Universitäts-IT Mannheim,Mannheim,Die Universitäts-IT Mannheim sucht ab sofort eine/-n Mitarbeiter/in als:Spezialist (m/w/d) für datenintensives Rechnen / Data Intensive Computing Specialst*.
Research,Universität Bielefeld,Bielefeld,Experience in Digital Humanities and/or research data management.Mail. Information on the processing of personal data is available https://www.uni-.
Software Engineer Data-Analytics Python (m/f/x),Nash Technologies,Böblingen,"Excellent skills in data analytics, statistic algorithm and data visualization.University degree in the field of computer science, or related disciplines."
Research,Universität Bielefeld,Bielefeld,Mail. Information on the processing of personal data is available https://www.uni-.Knowledge of 19th-century literature and the history of science.
"W 2 - Professur, Lehrgebiet: Allgemeine Betriebswirtschaftslehre, insbesondere Data Science, Kennziffer 104/2020",Hochschule Reutlingen,Reutlingen,Die ESB Business School der Hochschule Reutlingen ist eine der führenden Fakultäten für internationale Betriebswirtschaftslehre und Wirtschaftsingenieurwesen in…
Researcher Social-ecological connectivity in small-scale fisheries (f/m/d),Leibniz-Gemeinschaft,Bremen,"Master or Diploma degree in marine ecology, fisheries science or environmental economics (required).Through its research, ZMT contributes to developing science…"
FPGA Engineer (f/m/d),European XFEL,Hamburg,"Advanced degree in electrical engineering, computer science or equivalent.Evaluation of different data reduction related approaches in collaboration with…"
IT Business Consultant (B2C CRM & Data Integration),BSH Home Appliances Group,München,"Experience with customer/consumer data mgmt & IT solution Architecture.University degree in computer science, business information systems or similar."
Research,Universität Bielefeld,Bielefeld,Processing of personal data is available https://www.uni-bielefeld.de/Universitaet/Aktuelles/Stellenausschreibungen/2019_DS-.Sub-study within the sub-project.
Doctoral Researcher (m-f-d),Martin-Luther-Universität Halle Wittenberg,Halle (Saale),Available common garden data will allow.Lomic data (root exudate profiles).Performing population genomic lab work and data analyses.
Doktorand (w/m/d),German Centre for Integrative Biodiversity Researc...,Leipzig,The legal basis for such data.A clear drive to do science.And implements our mission to do great science.The personal data contained within your application…
Physical Scientist / Nuclear Engineer,US Department of Defense,Kaiserslautern,"A. Degree: physical science, engineering, or mathematics that included 24 semester hours in physical science and/or related engineering science such as…"
Research assistant for software development,GESIS – Leibniz-Institut für Sozialwissenschaften...,Köln,"As an infrastructure institution, we promote social science research and cooperate with renowned international research institutes."
Short Term Trader (w/m/d),EWE TRADING GmbH,Bremen,"Für die EWE TRADING GmbH, befristet für 24 Monate, am Standort Bremen.Das Short Term Team bewirtschaftet im 24/7 Schichtbetrieb ein vielseitiges Strom…"
Senior Researcher,GESIS – Leibniz-Institut für Sozialwissenschaften...,Köln,Sound knowledge of data protection and interest in data security.Responsibility for secure data access at GESIS and coordination of the secure data provision…
"MULTILINGUAL SENIOR IN-HOUSE CRA, PHASE IV, EUROPE",Covance,München,"University/college degree (life science preferred), or certification in a related allied health profession from an appropriately accredited institution (e.g.,…"
Internship Global Sales - Analytics & Solutions (m/f/d),Beiersdorf AG,Hamburg,Affinity to data science is a plus.Open applications or applications by email cannot be considered or answered for data protection reasons.
Doktorand (w/m/d),German Centre for Integrative Biodiversity Researc...,Leipzig,The data generated in this project will also be interfaced with experimental data.Supports and implements our mission to do great science.
Supply Chain Site Lead / Руководитель управления поставками (Обнинск),Nizhpharm JSC,Bad Vilbel,"Excellent knowledge of business processes within FMCG / pharmaceutical / food industry including planning, order fulfilment, capacity and supply planning,…"
Senior Data Scientist - Candidate Insights Team,SmartRecruiters Inc,Berlin,"Advocacy: Lead data initiatives and foster a data culture, encourage and advocate for a team-wide data-first mindset by connecting data projects to business…"
Product Analyst - Zalando Lounge,Zalando,Berlin,"Impacting product decisions through presentation and data storytelling of data-based recommendations.You value a diverse and fast-paced business environment,…"
Wissenschaftliche/r Mitarbeiter/in als Daten-Kurator für PANGAEA (m/w/d),Alfred-Wegener-Institut für Polar- und Meeresforsc...,Bremerhaven,"Das Alfred-Wegener-Institut Helmholtz-Zentrum für Polar- und Meeresforschung ist eine von der Bundesrepublik Deutschland, der Freien Hansestadt Bremen und den…"
"Masterstudiengang Business Analytics - Data Mining, IT (m/w/d)",Universität Ulm,Göppingen,"Bringen Sie Ihre Karriere in Schwung!Erweitern Sie Ihre Kompetenzen im Umgang mit den Herausforderungen ""Industrie 4.0"" und ""Big Data"" durch fundiertes Wissen!"
Chief Security Officer* (CSO),Software AG,Darmstadt,"You have a bachelor's degree in computer science, information assurance, MIS or a related field.You have strong background knowledge in information security…"
Associate Customer Success Manager,Integral Ad,Berlin,Prepare regular reporting and data analysis of client activity Identify at-risk scenarios and work with internal/external stakeholders to build & enact…
Customer Focus Team Sales Coordinator (M/F/D),Adva Optical Networking,Meiningen,"ADVA’s products are the building blocks for tomorrow’s networks, enabling the transport of increasing amounts of data across the globe."
Research Assist­ant (PostDoc),Technische Universität Berlin,Berlin,(4) data science and machine learning.(3) methods and algorithms for data analysis and data processing.Research data infrastructures for catalysis research.
Career Development Manager,The Boston Consulting Group,Düsseldorf,"BCG’s diverse, global teams bring deep industry and functional expertise and a range of perspectives to spark change through leading-edge management consulting…"
Studentenjob (w/m/x) - Financial Crime Management (20 h/Woche),Raiffeisen Capital Management,Deutschland,Studentenjob (w/m/x) - Financial Crime Management (20 h/Woche).Die Abteilung Financial Crime Management im Bereich Group Compliance ist verantwortlich für…
Wissenschaftlicher Mitarbeiter (m/w/d) im Bereich KI-Anwendungen in innovativen Produktions- und Logistiksystemen - Researcher in the Area of AI Applications in Innovative Production and Logistics Systems,Technische Hochschule Ingolstadt,Ingolstadt,"Development of innovation concepts in production and/or logistics scenarios using AI-based approaches in difficult data situations (sparse, unreliable,…"
Senior Sales Manager,General Electric,Frankfurt am Main,"Proactively identifies market trends via data analysis and makes strategic recommendations as appropriate.Bachelor’s Degree in business, science, engineering,…"
Product Manager (m/f/d),HRS Group,Köln,At HRS “We love to make it happen”: We are the global market leader when it comes to tech- and data driven business travel solutions.
Employee with uni­versity degree - salary grade,Technische Universität Berlin,Berlin,Please find our data protection notice acc.By submitting your application via email you consent to having your data electronically processed and saved.
CASUS Young Investigator Group Leader (f/m/d),Helmholtz-Zentrum Dresden-Rossendorf,Görlitz,"We combine innovative methods from mathematics, theoretical systems research, simulations, data science, and computer science to provide solutions for a range…"
Digital Transformation Manager,Boehringer Ingelheim,Biberach an der Riß,"Master or Diploma Degree in Computer Science, Data Science, Mathematics, Biotechnology or life science with several years of professional experience in either…"
"Backend Techlead, Weather&Health",Palta,Bayern,"Solid experience with data science/machine learning solutions.On the initial stage we expect from the potential candidate participation in coding, architecture…"
IT Specialist,Envio Systems GmbH,Berlin-Mitte,"Experience in data modeling, design patterns, and software architecture.Experience applying Computer Science fundamentals such as data structures, algorithm…"
Risk Business Developer (M/F/Div),SAS Institute Inc,Heidelberg,"Through our software and services, we inspire customers around the world to transform data into intelligence.We’re the leader in analytics."
Research Assistant/Associate (w/m/d),Land Nordrhein-Westfalen,Aachen,Specialization in data and/or process science).You will do cutting-edge process mining research in one of the top groups in data science.
Portfolio Manager (f/m/d),wefox Group,Berlin,"Experienced handling data, preferable hands on experience in data analytics or data warehouse.University degree in economics, actuary science, mathematics or…"
Teamlead Regulatory Affairs - Agrochemicals (m/w/d),Hays,Ludwigshafen am Rhein,Leitung eines erfahrenen Expertenteams sowie Führung von virtuellen Teams.Koordination der Registrierung von Pflanzenschutzmitteln.
Solutions Engineer,New Relic,München,A degree in computer science preferred.Note: Our stewardship of the data of thousands of customers’ means that a criminal background check is required to join…
"Bioinformatiker, Biologe - RNA-Analyse, Perl (m/w/d)",Axolabs GmbH,Hof,Join Axolabs to help achieve science for a safer world!Axolabs ist ein weltweit führendes Auftragsforschungsunternehmen auf dem Gebiet der Oligonukleotid…
"Biologist, Biotechnologist - Business Development (m/f/d)",c-LEcta GmbH,Dessau-Roßlau,"You will collect, investigate and assess data to judge the potential of an innovation for the market.Are you looking for an exciting challenge in a scientific…"
Performance Consultant - Germany,"Riverbed Technology, Inc.",München,"Ability to identify key issues, analyze data, and make recommendations to address problems.Riverbed enables organizations to maximize performance and…"
System Administrator (m/w/d),Staburo GmbH,München,"Staburo GmbH is a data science company, specialized in statistical consulting, programming and bioinformatics for healthcare projects."
"Graphic/UI Designer - Berlin, Germany",Certara,Berlin,"A knack for effective visual communication of complex data, concepts and information.Understanding of or interest in scientific concepts and displaying data…"
PhD student in Agricultural Economics (m/f/d) on “Modelling economic resilience of farms under climate change”,​​​​Leibniz-Zentrum für Agrarlandschaftsforschung...,Müncheberg,"Your data will be deleted after six months. Master of science in agricultural economics (or similar qualifications).Within sub-project 3, we aim to."
EU Rheumatology Patient Experience Lead,UCB S.A.,Monheim,"Define and create patient solutions, generated through patient insights and data.Partner with Strategic Operations, Digital Transformation, Customer Experience…"
"BTA/MTA, B.Sc./M.Sc in Biotechnology for Upstream/Downstream Processing",LenioBio GmbH,Aachen,"You are responsible for collection of process parameters, online equipment data and offline sample data in a process data management software."
PhD student in Agroecosystem Modelling (m/f/d),​​​​Leibniz-Zentrum für Agrarlandschaftsforschung...,Müncheberg,"Your data will be deleted after six months. Master of science agricultural, geo-, or environmental sciences.The project aims at gaining knowledge on how to."
Sachbearbeiter (w/m/d) in der Grundsatzabteilung (WGM),Das Bundesarchiv,Koblenz,"Als moderne Dienstleistungseinrichtung für Öffentlichkeit, Forschung und Verwaltung sichert das Bundesarchiv Zeugnisse zur neueren und neuesten Geschichte als…"
Solutions Architect (m/f/d),Relayr,Berlin,"We unleash data insights from existing equipment, machines and production lines to improve our customers’ business outcomes.Other languages are a plus."
"Bioinformatiker, Informatiker, Software Hochleistungsrechner (m/w/d)",Helmut-Schmidt-Universität - Universität der Bunde...,Lüneburg,"An der Helmut-Schmidt-Universität / Universität der Bundeswehr Hamburg (HSU / UniBw H) Fakultät für Maschinenbau, Professur für High Performance Computing (HPC;…"
Senior Business Intelligence Developer (m/f/d),Kuehne+Nagel,Hamburg,Bachelor or Master degree in computer science or comparable professional experience.In a highly heterogeneous IT landscape we bring data together to provide…
"Akademische*r Mitarbeiter*in (Postdoc) DFG-Projekt „GEP Analysis""",Filmuniversität Babelsberg KONRAD WOLF,Potsdam,"Using a mixed-method, interdisciplinary approach, the project will draw on quantitative and qualitative empirical media research, cultural policy studies,…"
Senior Software Engineer,RELX Group,Frankfurt am Main,"Master's Degree in chemistry, pharmacology or related natural science.Reaxys retrieves chemical literature, compound properties and reaction data faster than…"
Software Development Engineer - Amazon eero Cloud,Amazon Development Center DEU,Berlin,"Proficiency in Computer Science fundamentals (algorithms, data structures and problem solving).Bachelor’s degree in Computer Science, Computer or Electrical…"
Software Developer in SAP Analytics Cloud,SAP,Dresden,University degree in computer science or related technical discipline.Work with the platform teams on integration to provide data access for analytical and…
Senior Software Engineer (Python) - Quick Commerce (f/m/d),Delivery Hero,Berlin,"A rock-solid foundation in Computer Science (data structures, algorithms, software design).We are looking for a Senior Software Engineer with Python (f/m/d) to…"
Informatica PowerCenter Experte (m/w/d),Altran,Berlin,"Altran has been creating the world of tomorrow with the greatest technological expertise, digital innovation and transformative power for over 38 years: on the…"
"Postdoc Biology, Chemistry, Medicine - Skin Neuroimmunology (m/f/d)",Universitätsmedizin Dermatologie Göttingen,Northeim,"You hold a very good master or diploma degree in natural science.Your PhD thesis focusses on neuroimmunology, immunology, or skin research you are well-trained…"
Supply Chain Site Lead / Руководитель управления поставками (Нижний Новгород),Nizhpharm JSC,Bad Vilbel,"Excellent knowledge of business processes within FMCG / pharmaceutical / food industry including planning, order fulfilment, capacity and supply planning,…"
"Informatiker - Hardware Hochleistungsrechner, Netzwerke (m/w/d)",Helmut-Schmidt-Universität - Universität der Bunde...,Lüneburg,"An der Helmut-Schmidt-Universität / Universität der Bundeswehr Hamburg (HSU / UniBw H) Fakultät für Maschinenbau, Professur für High Performance Computing (HPC;…"
Full Stack mobile robotics (m/f/d) – All Levels,ABB,Gilching,Join ABB and work in a team that is dedicated to creating a future where innovative digital technologies allow greater access to cleaner energy.
Datenmanager für Pharmakonzern (m/w/d),Herrmann Personaldienste,Leverkusen,Im Mittelpunkt unseres Handelns steht Ihre Zufriedenheit!Die Herrmann GmbH Office + IT Service ist seit 20 Jahren auf die Vermittlung und Überlassung von Fach-…
Developer - DevOps Engineer (f/m/d) for the SAP Data Warehouse Cloud Team,SAP,Walldorf,Bachelor’s or Master’s degree in computer science or related fields.The SAP Data Plane establishes a unified data access for analytical and intelligent…
Analyst (m/w/d) im Bereich Business Intelligence,ManpowerGroupSolutions,Düsseldorf,"Analyst (m/w/d) im Bereich Business Intelligence.Sie suchen einen neuen Job?Für unseren Kunden, die Metso:Outotec suchen wir als ManpowerGroup Solutions ab…"
Full Stack Developer (m/f/d) mobile robotics – Entry Level,ABB,Gilching,Join ABB and work in a team that is dedicated to creating a future where innovative digital technologies allow greater access to cleaner energy.
Security Architect (m/w/d),GEA Group,Düsseldorf,"The Security Architect is responsible with the ESA for the technical structures for securing digital infrastructures, applications and general information (data…"
Junior Software Developer in SAP Analytics Cloud,SAP,Dresden,University degree in computer science or related technical discipline.Work with the platform teams on integration to provide data access for analytical and…
Senior Technical Product Manager (m/f/x) API Integration,Celonis,München,... are able to take ownership and push things forward while making sense of choices to stakeholders through qualitative and quantitative data and a fact-based…
Senior Software Engineer (Golang) - Quick Commerce (f/m/d),Delivery Hero,Berlin,"A rock-solid foundation in Computer Science (data structures, algorithms, software design).We are looking for a Senior Software Engineer with Golang (f/m/d) to…"
"Junior Data Scientist / Developer (m/f/d) for Investment Solutions and Tools in Technology & Implementation team at Allianz Investment Management SE, Munich",Allianz Investment Management SE,München,"Master degree in computer science, information technology, (financial) mathematics, data science, business informatics or other quantitative areas; PhD is a…"
Safety Data Coordinator,PRA Health Sciences,Mannheim,"Manage quality control review of coded data.To be successful in this position you should have a life science degree or a medical profession, such as…"
Praktikum Data Science,CAS Software AG,Karlsruhe,"Du unterstützt unser Team aktiv beim Aufbau KI-basierter Assistenzsysteme.Du explorierst Daten, entwickelst und validierst Machine-Learning-Modelle."
Junior Data Scientist (m / w /d),Yagora GmbH,Neu Isenburg,Der Moment der Kaufentscheidung ist seit über 20 Jahren der Mittelpunkt unseres Denkens und Handelns.Messen und analysieren das Kaufentscheidungsverhalten der…
Junior Consultant Data Science (m/w/d),Steria,Deutschland,"Als eine führende europäische Management- und Technologieberatung unterstützen wir Unternehmen und Behörden dabei, die digitale Transformation voranzutreiben…"
Data Scientist für Mobilitätskonzepte (w/m/d),Deutsche Bahn Connect GmbH,Frankfurt am Main,"Vollzeit (Dauer: befristet auf 24 Monate).Wenn es darum geht, zukünftig Millionen Fahrgäste und tausende Züge auch digital auf den Weg zu bringen, braucht es…"
Consultant Data Science (m/w/d),Steria,Deutschland,"Als eine führende europäische Management- und Technologieberatung unterstützen wir Unternehmen und Behörden dabei, die digitale Transformation voranzutreiben…"
(Junior) Marketing Data Scientist (m/f/d),home24 SE,Berlin,You are comfortable working with large data sets and analyzing complex data with SQL and other languages such as Python or R.How can we reach this goal?
Data Scientist (m/f/d),Liebherr-Hausgeräte Ochsenhausen GmbH,Ulm,"Prepare the data – Select, clean and transform the data.Understand the data – Explore and evaluate structured and unstructured data sets."
"Wissenschaftliche/r Mitarbeiter/in (m/w/d) Machine Learning, Data Science, 3D-Bildrekonstruktion, High Performance Computing, Scientific Visualization, Cyber Security",Hochschule Worms,Rheinland-Pfalz,Rund 2.200 Mitarbeiterinnen und Mitarbeiter zeichnen den Landkreis Böblingen als attraktiven Arbeitgeber aus.Persönliche und fachliche Perspektiven fördern wir…
Lead Data Scientist (all genders),Zühlke Engineering GmbH,Hannover,"Du machst aus den Daten unserer Kunden digitales Gold.Lead Data Scientist (all genders).Frankfurt, Hamburg, Hannover, München, Stuttgart."
Student assistant position | Development of a metadata standard for materials spectroscopy data,Fritz Haber Institute of the Max Planck Society,Berlin,"The approach paves the way for big-data-driven materials science, in particular to materials spectroscopy data.Job Offer from December 14, 2020."
Data Scientist (w/m/d) in Frankfurt (Main),DB Zeitarbeit GmbH,Frankfurt am Main,Job-Nr.: PFW00762-JO-001-D.Als 100%ige Tochter ist die DB Zeitarbeit Dein Sprungbrett zur Deutschen Bahn.Mach Deinen nächsten Schritt - und den ersten in den…
Senior Data Science Engineer-Remote,Sojern,Berlin,You work independently to solve data science challenges.You have expert-level understanding of data science topics.Sojern has a values-driven company culture.
Intern / Working Student (f/m/d) at SAP Innovation Center Network,SAP,München,Work Area: Software-Design and Development.Employment Type: Limited Full Time.SAP started in 1972 as a team of five colleagues with a desire to do something…
