title,company,location,description
Senior Software Development Engineer - AutoSar,Amazon Development Center DEU,Berlin,Protecting your privacy and the security of your data is a longstanding top priority for Amazon.Please consult our Privacy Notice to know more about how we…
Chief Technology Officer (f/m/d) as Co-Founder,RoX Health GmbH,Berlin,You take care of data security.One in eight women gets breast cancer over the course of her life – that’s 70.000 a year.The diagnosis turns lifes upside down.
"Praktikant (m/w/d) im Bereich CBU Finance, mit Schwerpunkt Business Analytics in Düsseldorf",Vodafone,Düsseldorf,"Bist Du bereit für eine Zukunft, die dank neuer, digitaler Technologien so aufregend sein wird wie nie?Bist Du bereit für eine Welt voller Möglichkeiten?"
PhD position in Spatiotemporal analysis of altered cell-cell communication routes in lung disease (f/m/d),Helmholtz Zentrum München,München,Creativity and analytical thinking in combination with a strong passion for science and innovation is highly desirable.
Data Engineer (m/f/d),Amadeus FiRe,Hamburg,Development of integrated data layers for data-driven analyses and reports.Degree in computer science or a comparable qualification.Data Engineer (m/f/d).
System Analyst (f/m/d) Treasury Management Systems,Siemens Energy,München,The foundation of your career is a successfully completed university degree in (business) computer science or business administration.What part will you play?
TEST DEVELOPER (M/W/D),Belden,Neckartenzlingen,"You have a degree in computer science, communications engineering or a comparable professional experience.Belden offers innovative solutions for reliably and…"
IBM Analytics Consultant Cognos - TM1 - SPSS (m/w/d),accantec group,Hamburg,Sie haben Lust auf die richtige Mischung aus Beratung und technischer Umsetzung in spannenden BI-Projekten und fühlen sich in der IBM Analytics- Welt zu Hause?
Sales Operations Manager (m/f/x),CarOnSale,Berlin,You ensure excellent data quality in Salesforce.As CarOnSale we have developed into a rapidly growing automotive start-up.Our employees are our inspiration.
Senior Software Engineer,Amazon EU SARL(Germany Branch),Berlin,"Strong computer science and software development fundamentals, including object-oriented design, data structures, algorithm design and complexity analysis."
Product Owner (m/f/x),Temedica GmbH,München,"Very good experience in data-driven creation of digital products.At Temedica, we combine digital technologies with medical science - two areas that for us are…"
Technology Researcher / Engineer (f/m/d) - Emerging Technologies & Applications,SAP,Potsdam,"A good foundation in computer science, algorithms, data structures, object-oriented programming, design patterns, multi-threaded programming, and software…"
Java Developer (f/m/x - full-time - Berlin),Bloom Partners GmbH,Berlin-Kreuzberg,Develop integrations of data sources and company applications.The successful candidate is ahead of the curve in digital and has a Master/ Bachelor university…
Ubuntu Systems Management - Product Manager,Canonical - Jobs,Berlin,A technical or science background and qualifications.Track record of data-driven decision-making.Product leadership at Canonical is data-driven and content…
"Stellenausschreibung Mediengestalter*in (w/m/d), Vollzeit, befristet, ab 11.01.2021",TAKEPART Media,Köln,Wir stellen ein – auch in Corona-Zeiten.Digitale Kommunikation gehört zu unseren Stärken.Deswegen sind wir bestens aufgestellt für die aktuellen…
"Dozierende (w/m/d) Honorarbasis, Bachelorstudiengänge Informatik und Management","Hochschule für Wirtschaft, Technik und Kultur",Bezirk Friedrichshain-Kreuzberg,"Die Hochschule für Wirtschaft, Technik und Kultur (hwtk), ab dem 1.Januar 2021 VICTORIA | Internationale Hochschule, ist eine innovative, staatlich anerkannte…"
Agile Product Manager/ Product Owner - Biomolecular Systems and Solutions Software (m/f/x),"Agilent Technologies, Inc.",Waldbronn,Partnering with stakeholders and customers across the organization to gather functional requirements and turning data insights into products with actionable…
Mid/Senior Backend Engineer m/f/d,Klar EDV GmbH,Berlin-Mitte,Design and implement the data storage solutions.Klar's ideal candidate is someone who is capable of managing the interchange of data between the server and the…
"IT-Systemadministrator, 2nd Level (m/w/d)",EffiCon GmbH & Co. KG von ITsax.de,Dresden,Du interessierst Dich für die neuste Informationstechnologie und Softwareprozesse?Neue Projekte und abwechslungsreiche Herausforderungen rund um die Themen IoT…
RPA Developer (m/f/x),KI Group,Köln,"Bachelors degree in technology, engineering and computer science relevant field.In agile teams, we use methods and technologies from the fields of data…"
Senior Technical Project Manager,Amazon Development Center DEU,Dresden,"Lead initiatives and work closely with teams across the organization, including hardware, software, and network engineering, as well as product management, data…"
SENIOR TEST DEVELOPER (M/W/D),Belden,Neckartenzlingen,"You have a degree in computer science, communications engineering or a comparable professional experience.Belden offers innovative solutions for reliably and…"
Computer Network Defense & Incident Response Analyst - Mid Level,Spinvi,Stuttgart,Ability to explain the difference between data contained within Windows Event logs and Sysmon logs.Validates suspicious events or reports and determine if the…
SR. EMBEDDED SOFTWARE DEVELOPER (M/W/D),Belden,Neckartenzlingen,Belden offers innovative solutions for reliably and securely transmitting ever-increasing volumes of data needed for modern industrial applications.
SAP Cloud Platform Support Associate Engineer im Center of Expertise EMEA,SAP,Sankt Leon-Rot,"Work Area: Customer Service and Support.Employment Type: Regular Full Time.Die SAP wurde 1972 von fünf Kollegen ins Leben gerufen, die etwas Neues auf die…"
Technology Lead / Engineer (f/m/d) - Emerging Technologies & Applications,SAP,Potsdam,"A good foundation in computer science, algorithms, data structures, object-oriented programming, design patterns, multi-threaded programming, and software…"
Backend JavaScript Developer (m/w/d),I. K. Hofmann GmbH,Berlin,"3+ years of experience in JavaScript Development, with strong competencies in data structures, distributed systems, algorithms and software design."
(Junior) Data Analyst (m/f/d),Project A Services GmbH & Co. KG,Berlin,You feel comfortable navigating modern data infrastructure stacks from data ingestion all the way to operationalisation.What will keep you challenged?
Business Intelligence / Data Analyst (m/f/d),Michael Page,Berlin,"Working on the full data lifecycle (requirement gathering, data processing and visualization).Monitoring customer performance and improve the data quality."
"Scientist (m/f/d), Protein Analytics",Pieris Pharmaceuticals,Hallbergmoos,It is our mission to develop life-changing therapeutic proteins for patients suffering from cancer and respiratory diseases through the innovative application…
Head of Data Science(m/w/d) (Mediengruppe RTL Deutschland),Mediengruppe RTL Deutschland GmbH,Köln,"Internal and external representation of data science.In our central data division of the Mediengruppe RTL, Data & Audience Intelligence, we bundle our…"
Data Scientist (m/w/d),sonnen GmbH,Berlin,"To querying databases, manipulate data and draw insights from large data sets.You have 2+ years of industry or academic experiences in data science / machine…"
Praktikum im Bereich Data Science und Industrie 4.0,Bosch Group,Berlin,"Möchten Sie Ihre Ideen in nutzbringende und sinnvolle Technologien verwandeln?Ob im Bereich Mobility Solutions, Consumer Goods, Industrial Technology oder…"
(Junior) Data Analyst (m/f/d),Project A Ventures,Berlin,"You feel comfortable navigating modern data infrastructure stacks from data ingestion all the way to operationalisation.Fluency in English, German is a plus."
Audi Global Graduate Program - Machine Learning Engineer (all gender welcome),AUDI AG,Ingolstadt,"Due to the growing digitization, there is not only a change in business models and products, but also the IT support for employees needs to keep track with the…"
Audi Global Graduate Program - Data Specialist Digitalization,AUDI AG,Ingolstadt,Independent implementation of data analyzes.Analysis and evaluation of purchasing software in the field of data analysis / processing.
Working Student Data & Analytics Strategic Business Partnerships,BSH Home Appliances Group,München,"Passion for data, explorative analytics and data science (no programming skills required).Contribute to our overall target to “make BSH data-driven”."
Data Engineer (flexible location),Amazon Deutschland Servcs GmbH,Berlin,"Demonstrated strength in data modeling, ETL development, and data warehousing.Are you passionate about data?Data Warehousing Experience with Oracle, Redshift,…"
Student Assistant - Recruitment and Admissions (f/m/div),Hertie School of Governance,Berlin,"Preparing data for statistics on application and admission processes.A stimulating international and diverse environment in multiple areas of social science,…"
"Data Science Manager, Growth",GetYourGuide,Berlin,5+ years of data science and software development experience.2+ years of direct people management in data science teams.
Data Analytics Solutions Specialist (f/m/d),Altair Engineering,Böblingen,"Our vision is to transform customer decision making with data analytics, simulation, and high-performance computing.Data Scientist Industry 4.0 (f/m/d)."
Physiology Data Expert (m/f/d),Yara,Dülmen,"Familiarity with data mining, management and basic analytics techniques for cross-disciplinary data.Minimum 10+ years of experience in natural science research…"
(Senior) Consultant Data Science (m/w/d),Alter Solutions Deutschland GmbH,Home Office,"Wir sind eine Technologie-Firma.Bei uns arbeiten über 40 Informatiker, Mathematiker, Ingenieure und Kaufleute, um die Zukunft ein Stück mitzugestalten."
"Manager, Clinical Science",BeiGene,Deutschland,Analytical - Synthesizes complex or diverse information; Collects and researches data; Uses intuition and experience to complement data.
Machine Learning Research Scientist (m/f/d),neurocat GmbH,Berlin,"Strong background in optimization theory, statistics and data analysis.Our office is located directly in the heart of the science park Berlin Adlershof, a…"
Data Engineer (m/f/d),TUI,Deutschland,"The ability to design, implement and use effective database structures to ensure data is organised effectively and ready for downstream development of data…"
Working Student (m/f/d) Product Marketing Life Science,Olympus Europa SE & Co. KG (OEKG),Hamburg,"You evaluate customer feedback data and summarize results.As a working student (m/f/d) you will support the Product Marketing Team Life Science, EMEA with a…"
Global Big Data Architect,AWS EMEA SARL (Germany Branch),München,"Demonstrated industry leadership in the fields of database, Big Data, data warehousing or data sciences.Hands on experience leading large-scale global data…"
Data Engineer Hotels & Resorts (m/f/d),TUI,Hannover,"Develop the data warehouse in terms of architecture, data model and integration processes.Cooperate in an interdisciplinary team with data scientists and data…"
"Senior (m,w,d) Data Scientist",Bausparkasse Schwäbisch Hall,Schwäbisch Hall,Schwäbisch Hall gehört zu den führenden Anbietern von Baufinanzierungen in Deutschland.Gemeinsam schaffen wir für unsere Kunden Heimat und bieten unseren…
Working Student Climate Action (f/m/d),Planetly,Berlin,"As we see ourselves as 'for-purpose - for-profit', we're committed to employing all entrepreneurial abilities to solve one of our generation's most pressing…"
Chief Science Officer (m/w/d),biotikur,Berlin,"Perform data analyses of participant/customer data, extract insights, recommendations.Design and institute processes/procedures for science and production…"
Student Assistant (f/m/div) - Stanton Project,Hertie School of Governance,Berlin,Skills in quantitative data management and analysis are a plus (Stata and/or R (tidyverse)).A stimulating international and diverse environment in multiple…
Product Analyst,MachineZone,Berlin,"Experience with ETL, schema design, data modeling, and business intelligence big data architectures.Use your data and analytics experience to continuously look…"
Teamleiter Data Science (w/m/d),Agile IT Management GmbH,Hannover,"AIM ist seit 2016 Pionier beim industriellen Einsatz von KI, insbesondere Predictive Analytics, Machine Vision und Language Processing, in verschiedenen…"
Internship Medical Wearables ‏ (d/m/f),Henkel,Heidelberg,"You are good at describing and visualizing complex data in an crisp way.Scientist (ideally medical related, chemistry, or material science) or business major."
"Students Working Student Operations Support Europe Onshore (d/f/m) DE, Essen Fixed Term 02.12.2020",RWE Renewables GmbH,Essen,"Relevant bachelor degree in economics, engineering or science.Support document management and set up of shared drive/data storage platform."
(Senior) Data Engineer (f/m/x),D4L data4life gGmbH,Potsdam,Develop and maintain data processing pipelines from diverse data sources.You have solid practical experience (2+ years) in building data pipelines and data…
EU Customer Service Project Manager,Amazon CS Berlin GmbH,Berlin,"Our mission is to amplify customer feedback through data, generate meaningful insights via user research and data science, and to design new experiences and…"
Internship (Praktikum): Deep Learning Systems for Industrial Applications,Ikara Vision Systems GmbH,Kaiserslautern,Proactively working on challenging computer vision and deep learning problems with real-world data.If you are a motivated individual with a hands-on mentality…
Software Engineer - Data Hub & Connectivity,Snke OS,München,"The Data Hub connects to several data sources within the Hospital, from IT systems like the Hospital Information System or Medical Image Archives (PACS) to…"
Applied Science - Senior Economist,Zalando,Berlin,"Contribute to the vibrant economics and data science community at Zalando.Deep care about good science, while being just as passionate about deriving…"
Business Intelligence Analyst (m/f/d),AppLike GmbH,Hamburg,"You are interested in big volumes of data and the tools to handle those.You studied mathematics, computer science (with a minor in economics) or similar."
Senior Data Scientist (gn),Soil & More Impacts,Hamburg,"You have a strong background in data science (e.g. Python, R) and experience with databases (e.g. PostgreSQL).Experience in machine learning is an asset."
CRM-Analyst / Data Scientist (m/w/d),Lebara Germany Limited,Düsseldorf,Zur Unterstützung unseres Teams in Düsseldorf suchen wir ab sofort eine/n:CRM-Analyst / Data Scientist (m/w/d)*.Sehr gute Kenntnisse der MS-Office-Produkte.
Team Lead Data Analytics (w/m/d),Zalando,Berlin,Building and clearly communicating compelling data stories to support operational teams taking data-based decisions and actions.WHERE YOUR EXPERTISE IS NEEDED.
R&D Programmer (m/w/d),Covestro,Leverkusen,We refined Chemical material solutions with game-changing products.Let us empower you to push boundaries.Join us and our 17.200 colleagues now and together we…
Wiss. Mitarbeiter/in Doktorand/in deutsche Ausschreibung englische Ausschreibung,Philipps-Universität Marburg,Marburg an der Lahn,"Growing production and application of digital data with the focus on data visualization.Ation with film historiographical initiatives and computer science, you…"
Praktikant (m/w/d) im Bereich Automatisierung,Herrenknecht AG,Schwanau,"Praktikant (m/w/d) im Bereich Automatisierung.Wenn es um Ihre Zukunft geht, sollten Sie keine Kompromisse eingehen.Erfahrung mit Azure ML von Vorteil."
Praktikant (m/w/d) Digital Transformation für die Marke ratiopharm,Teva Pharmaceuticals,Ulm,Teva ist ein global agierender Arzneimittelkonzern und Weltmarktführer unter den Generikaunternehmen.Das Herzstück unseres Erfolges sind unsere Mitarbeiter in…
Technical assistants (m/f/d) Cell Service,KWS Group,Einbeck,"Our data privacy policy for candidates is available on www.kws.com/dataprotection.Please select the country where the job you applied for is posted in and, if…"
Junior Tableau Developer,ADASTRA,Hannover,Solid knowledge of data modeling and SQL.Analyze all kind of data sets and translate them into easily digestible management-level reports by following Best…
PhD position (part time 67%) f/m/d,Universität Koblenz-Landau,Landau in der Pfalz,The applicant's task is to compile data in collaboration with other subprojects as well as with international partners and to test different hypotheses using…
Interiors Product Engineer,"Inteva Products, LLC",Solingen,Release math data and drawings to schedule.Lead the design and engineering of vehicle interior components / modules.Generate and implement cost savings ideas.
Research Engineer (m/f/d),neurocat GmbH,Berlin,"Several years of work experience in a data science- and/or ML-related context (i.e., statistics and/or optimization).Join our team at neurocat*."
PhD,Universität Bielefeld,Bielefeld,Information on the processing of personal data is available https://www.uni-.The Bielefeld institute for Cognition and Robotics (CoR-Lab) offers a full-time.
Research Associate (m/f/d),Leibniz-Gemeinschaft,Trier,This platform is meant to promote the competencies of research data managers by offering courses and making teaching material from research data centers (RDCs)…
IT Manager (m/w/d) EMEA Data Center & IT Operations (m/w/d)Germany,Delta Energy Systems GmbH,Deutschland,"Successfully completed studies in the field of computer science or similar education in IT / IT security.Professional experience in the field of data center,…"
Koordination NFDI-Konsortien,DLR - Deutsches Zentrum für Luft- und Raumfahrt,Köln,Das DLR baut eine zentrale Infrastruktur zum Management von Forschungsdaten (FDM) auf und benötigt für die Koordination der NFDI Aktivitäten des DLR eine/n Data…
Site Reliability Engineer (m/w/d) (CBC) Data Platform,CBC Cologne Broadcasting Center GmbH,Köln,"Hätte, wäre, könnte … (MIT)MACHEN!Wir sind die Mediengruppe RTL Deutschland – der Local Hero mit starken Marken und klarem Fokus auf eigenproduzierten Inhalten…"
Front End Engineer,Amazon Development Center DEU,Berlin,"Bachelor’s degree in computer science, software engineering, or related technical field.Knowledge of CS fundamentals including data structures, algorithms,…"
Senior Software Engineer - Data Hub & Connectivity,Snke OS,München,"The Data Hub connects to several data sources within the Hospital, from IT systems like the Hospital Information System or Medical Image Archives (PACS) to…"
Masterand (m/w/d) im Bereich Automatisierung,Herrenknecht AG,Schwanau,"Masterand (m/w/d) im Bereich Automatisierung.Wenn es um Ihre Zukunft geht, sollten Sie keine Kompromisse eingehen.Erfahrung mit Azure ML von Vorteil."
Intern in Group Capital Markets & Advisory – Bonds Public Sector Origination (m/f/diverse),Commerzbank AG,Frankfurt am Main,"Studies of business-science or economics.Your responsibilities include supporting the preparation of pitch material (e.g. request for proposals), pricing…"
CI/HUMINT Analyst,Booz Allen Hamilton,Stuttgart,"New skills – In-house experts and partnerships with tech leaders, like Nvidia and Splunk, mean you can get practical experience with advanced GPU technologies,…"
Doktorand*in (m/w/d) im Graduiertenkolleg dataninja,Universität Bielefeld,Bielefeld,"Für das das Forschungsinstitut für Kognition und Robotik (CoR-Lab) suchen wir zum.Nächstmöglichen Zeitpunkt in Vollzeit eine*n.(bis zu E13 TV-L, befristet)."
(Senior) Software Engineer / Data Engineer (m/w/d),Bertelsmann Stiftung,Gütersloh,"Die Bertelsmann Stiftung ist eine der größten operativen Stiftungen in Europa.Sie ist eine gemeinnützige Organisation, die sich in der Tradition ihres Gründers…"
PhD,Universität Bielefeld,Bielefeld,Pattern analysis of the learned data.Information on the processing of personal data is available https://www.uni-.Starting as soon as possible.
PhD,Universität Bielefeld,Bielefeld,Information on the processing of personal data is available https://www.uni-.Development of transfer learning and representation learning methods that only…
"(Senior) Medical Science Liaison, Germany",Seagen,München,"Facilitate scientific discussions in the field and work with in-house and field partners to facilitate ongoing information/clinical data sharing (i.e., new data…"
"Senior Consultant, Data Lake & Analytics",AWS EMEA SARL (Germany Branch),München,"Demonstrated industry leadership in the fields of database, data warehousing or data sciences.Hands on experience leading large-scale global data warehousing…"
Praktikant (m/w/d) - Strategie Smart City Projekt im Smart Energy Startup,GreenPocket GmbH,Köln,Als agiles Startup im dynamischen Wachstumsmarkt für Smart Energy Software begleiten wir weltweit Energieversorger und Unternehmenskunden bei der Realisierung…
